City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
191,mokobeng,-22.9965,27.6678,20.57,68,24,3.05,BW,1675741111
192,biskamzha,53.4497,89.5272,-9.07,95,98,0.78,RU,1675741112
193,balkanabat,39.5108,54.3671,10.64,35,70,3.12,TM,1675741113
194,plettenberg bay,-34.0527,23.3716,20.99,95,80,2.37,ZA,1675741115
195,cherskiy,68.75,161.3,-37.0,100,100,1.7,RU,1675740818
196,esperance,-33.8667,121.9,23.0,70,0,8.31,AU,1675741096
197,tabas,33.5959,56.9244,11.47,38,4,2.71,IR,1675741117
198,norman wells,65.282,-126.8329,-23.98,70,100,2.06,CA,1675741042
199,miri,4.4148,114.0089,29.08,74,40,3.6,MY,1675741118
200,vao,-22.6667,167.4833,26.05,68,17,5.63,NC,1675740894
201,rio gallegos,-51.6226,-69.2181,15.03,51,40,9.26,AR,1675741119
202,burns lake,54.2331,-125.7533,0.68,98,47,1.39,CA,1675741120
203,kavieng,-2.5744,150.7967,28.28,74,89,2.59,PG,1675740874
204,abonnema,4.7084,6.7931,25.67,84,33,1.88,NG,1675741123
205,jiuquan,39.7432,98.5174,0.16,39,11,1.82,CN,1675741124
206,haines junction,60.7522,-137.5108,-4.03,63,100,2.06,CA,1675740795
207,qaanaaq,77.484,-69.3632,-28.17,94,99,1.75,GL,1675740820
208,benguela,-12.5763,13.4055,24.43,72,100,1.79,AO,1675741127
209,the pas,53.8251,-101.2541,-9.99,73,75,5.14,CA,1675741129
210,mbulu,-3.85,35.5333,14.74,88,100,1.34,TZ,1675741130
211,sokolow podlaski,52.4068,22.2531,-1.36,87,100,4.58,PL,1675741130
212,ugoofaaru,5.6667,73.0,27.09,74,93,4.68,MV,1675741132
213,itoman,26.1247,127.6694,22.21,80,40,5.66,JP,1675740930
214,rosetta,31.4044,30.4164,13.17,55,100,10.33,EG,1675741133
215,nuevo progreso,23.1667,-97.95,20.82,72,27,0.45,MX,1675741134
216,rocha,-34.4833,-54.3333,19.37,97,6,0.66,UY,1675741135
217,port elizabeth,-33.918,25.5701,22.4,93,20,7.72,ZA,1675740813
218,halifax,44.6453,-63.5724,-1.48,80,100,5.81,CA,1675740942
219,las vegas,36.175,-115.1372,13.38,28,0,5.14,US,1675741105
220,chokwe,-24.5333,32.9833,21.92,95,36,1.22,MZ,1675741137
221,lovozero,68.005,35.0117,-1.48,86,100,2.3,RU,1675741139
222,susangerd,31.5608,48.1831,13.58,91,7,3.44,IR,1675741139
223,peterhead,57.5058,-1.7981,4.69,87,90,5.99,GB,1675741140
224,andenes,69.3143,16.1194,7.18,87,100,14.4,NO,1675741141
225,acari,-15.4311,-74.6158,24.46,85,69,1.46,PE,1675741141
226,manakara,-22.1333,48.0167,22.58,95,100,1.45,MG,1675741142
